id,name,class,mass (g),mass (kg),fall,year,latitude,longitude,GeoLocation
14427,Lewis Cliff 88690,H6,11.5,0.0115,Found,1988,-84.27857,161.40607,"(-84.27857, 161.40607)"
13821,Lewis Cliff 88067,L6,11.5,0.0115,Found,1988,-84.25265,161.41543,"(-84.25265, 161.41543)"
4472,Asuka 881763,L6,11.51,0.01151,Found,1988,-72,26,"(-72.0, 26.0)"
1128,Allan Hills 88084,L6,11.51,0.01151,Found,1988,-76.71667,159.33333,"(-76.71667, 159.33333)"
1124,Allan Hills 88080,H5,11.54,0.01154,Found,1988,-76.71667,159.33333,"(-76.71667, 159.33333)"
4349,Asuka 881640,L3,11.59,0.01159,Found,1988,-72,26,"(-72.0, 26.0)"
14380,Lewis Cliff 88643,H5,11.6,0.0116,Found,1988,-84.27304,161.40643,"(-84.27304, 161.40643)"
14030,Lewis Cliff 88279,L6,11.6,0.0116,Found,1988,-84.23249,161.43758,"(-84.23249, 161.43758)"
14045,Lewis Cliff 88294,H5,11.6,0.0116,Found,1988,-84.24091,161.45851,"(-84.24091, 161.45851)"
14505,Lewis Cliff 88768,H6,11.6,0.0116,Found,1988,-84.23174,161.54752,"(-84.23174, 161.54752)"
4662,Asuka 881953,H4,11.62,0.01162,Found,1988,-72,26,"(-72.0, 26.0)"
4414,Asuka 881705,H4,11.63,0.01163,Found,1988,-72,26,"(-72.0, 26.0)"
3907,Asuka 881198,H6,11.66,0.01166,Found,1988,-72,26,"(-72.0, 26.0)"
15309,MacAlpine Hills 88145,H4,11.7,0.0117,Found,1988,-84.21667,160.5,"(-84.21667, 160.5)"
14362,Lewis Cliff 88624,H5,11.7,0.0117,Found,1988,-84.28333,161.08333,"(-84.28333, 161.08333)"
13763,Lewis Cliff 88009,Eucrite-unbr,11.7,0.0117,Found,1988,-84.27378,161.3755,"(-84.27378, 161.3755)"
14026,Lewis Cliff 88275,L6,11.7,0.0117,Found,1988,-84.23543,161.46274,"(-84.23543, 161.46274)"
3339,Asuka 880630,H3,11.72,0.01172,Found,1988,-72,26,"(-72.0, 26.0)"
14330,Lewis Cliff 88590,L4,11.8,0.0118,Found,1988,-84.25108,161.41354,"(-84.25108, 161.41354)"
4166,Asuka 881457,H4,11.82,0.01182,Found,1988,-72,26,"(-72.0, 26.0)"
4636,Asuka 881927,H6,11.84,0.01184,Found,1988,-72,26,"(-72.0, 26.0)"
1127,Allan Hills 88083,H4,11.86,0.01186,Found,1988,-76.69205,159.29708,"(-76.69205, 159.29708)"
3412,Asuka 880703,H5,11.88,0.01188,Found,1988,-72,26,"(-72.0, 26.0)"
3464,Asuka 880755,H4,11.9,0.0119,Found,1988,-72,26,"(-72.0, 26.0)"
14022,Lewis Cliff 88271,L6,11.9,0.0119,Found,1988,-84.28606,161.33797,"(-84.28606, 161.33797)"
13846,Lewis Cliff 88092,H5,11.9,0.0119,Found,1988,-84.25216,161.38367,"(-84.25216, 161.38367)"
13849,Lewis Cliff 88095,H6,11.9,0.0119,Found,1988,-84.25284,161.38465,"(-84.25284, 161.38465)"
14186,Lewis Cliff 88441,H5,11.9,0.0119,Found,1988,-84.25091,161.38536,"(-84.25091, 161.38536)"
14521,Lewis Cliff 88786,L6,11.9,0.0119,Found,1988,-84.25232,161.38808,"(-84.25232, 161.38808)"
13857,Lewis Cliff 88104,H6,11.9,0.0119,Found,1988,-84.24675,161.42207,"(-84.24675, 161.42207)"
14166,Lewis Cliff 88421,H5,11.9,0.0119,Found,1988,-84.23937,161.44369,"(-84.23937, 161.44369)"
14485,Lewis Cliff 88748,L4,11.9,0.0119,Found,1988,-84.23364,161.4898,"(-84.23364, 161.4898)"
4281,Asuka 881572,H6,11.92,0.01192,Found,1988,-72,26,"(-72.0, 26.0)"
3323,Asuka 880614,H5,11.94,0.01194,Found,1988,-72,26,"(-72.0, 26.0)"
